"Metric","RANGER_equipo_tot","RANGER_equipo_tot_CV","KNN_dic_equipo_tot","KNN_dic_equipo_tot_CV","rf_equipo_tot","rf_equipo_tot_cv","rf_fecha_tot","rf_fecha_tot_cv","rf_matrix_total","rf_matrix_total_cv","RF_matrix_carga","RF_matrix_carga_rf_cv","KNN_equipo_dic_cc","KNN_equipo_dic_cc_cv","Ranger_matrix_dich_cc","Ranger_matrix_dich_cc_CV"
"Accuracy",0.444,0.51,0.471,0.49,0.464,0.49,0.516,0.386,0.471,0.503,0.608,0.418,0.418,0.614,0.359,0.386
"Kappa",0.057,0.074,0.078,0.1,0.064,0.045,0.16,-0.041,0.101,0.074,0.172,-0.029,-0.04,0.122,-0.09,0
"Sensitivity",0.138,0.404,0.213,0.255,0.213,0.372,0.245,0.085,0.16,0.372,0.681,0.202,0.223,0.809,0.074,0
"Specificity",0.932,0.678,0.881,0.864,0.864,0.678,0.949,0.864,0.966,0.712,0.492,0.763,0.729,0.305,0.814,1
"Precision",0.765,0.667,0.741,0.75,0.714,0.648,0.885,0.5,0.882,0.673,0.681,0.576,0.568,0.65,0.389,NA
"F1_Score",0.234,0.503,0.331,0.381,0.328,0.473,0.383,0.145,0.27,0.479,0.681,0.299,0.321,0.72,0.125,NA
"NPV",0.404,0.417,0.413,0.421,0.408,0.404,0.441,0.372,0.419,0.416,0.492,0.375,0.371,0.5,0.356,0.386
"Prevalence",0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614
"Detection_Rate",0.085,0.248,0.131,0.157,0.131,0.229,0.15,0.052,0.098,0.229,0.418,0.124,0.137,0.497,0.046,0
"Balanced_Accuracy",0.535,0.541,0.547,0.56,0.539,0.525,0.597,0.475,0.563,0.542,0.586,0.482,0.476,0.557,0.444,0.5
"LR+",2.04,1.255,1.793,1.883,1.569,1.156,4.812,0.628,4.707,1.292,1.339,0.852,0.824,1.163,0.399,NA
"LR-",0.924,0.879,0.893,0.861,0.911,0.926,0.796,1.058,0.87,0.882,0.649,1.046,1.066,0.628,1.138,1
"AUC",0.541,0.499,0.567,0.56,0.647,0.514,0.662,0.5,0.656,0.565,0.61,0.478,0.543,0.56,0.46,0.495
